Município;2017;2018;2019;2020;2021
350010 ADAMANTINA;35139;35023;35068;35111;35153
350020 ADOLFO;3609;3571;3562;3554;3545
350030 AGUAI;35508;35954;36305;36648;36981
350040 AGUAS DA PRATA;8104;8137;8180;8221;8262
350050 AGUAS DE LINDOIA;18509;18599;18705;18808;18908
350055 AGUAS DE SANTA BARBARA;6009;6040;6075;6109;6142
350060 AGUAS DE SAO PEDRO;3268;3380;3451;3521;3588
350070 AGUDOS;36880;37023;37214;37401;37582
350075 ALAMBARI;5754;5918;6025;6129;6231
350080 ALFREDO MARCONDES;4135;4147;4166;4184;4201
350090 ALTAIR;4109;4134;4160;4186;4211
350100 ALTINOPOLIS;16219;16164;16184;16203;16221
350110 ALTO ALEGRE;4154;4110;4099;4088;4078
350115 ALUMINIO;18324;18484;18628;18767;18903
350120 ALVARES FLORENCE;3795;3712;3679;3647;3616
350130 ALVARES MACHADO;24813;24830;24915;24998;25078
350140 ALVARO DE CARVALHO;5119;5179;5227;5274;5320
350150 ALVINLANDIA;3196;3206;3222;3237;3251
350160 AMERICANA;233868;237112;239597;242018;244370
350170 AMERICO BRASILIENSE;39189;39962;40504;41032;41545
350180 AMERICO DE CAMPOS;5967;5956;5969;5981;5993
350190 AMPARO;71193;71700;72195;72677;73145
350200 ANALANDIA;4845;4933;4995;5056;5115
350210 ANDRADINA;57350;57112;57157;57202;57245
350220 ANGATUBA;24634;24969;25228;25479;25724
350230 ANHEMBI;6484;6627;6724;6819;6911
350240 ANHUMAS;4053;4085;4115;4144;4172
350250 APARECIDA;36279;36129;36157;36185;36211
350260 APARECIDA D'OESTE;4329;4234;4196;4158;4122
350270 APIAI;24945;24526;24374;24226;24081
350275 ARACARIGUAMA;21038;21854;22364;22860;23343
350280 ARACATUBA;194874;195874;197016;198129;199210
350290 ARACOIABA DA SERRA;32495;33499;34146;34776;35389
350300 ARAMINA;5552;5585;5620;5655;5689
350310 ARANDU;6368;6348;6357;6365;6373
350315 ARAPEI;2509;2478;2469;2460;2452
350320 ARARAQUARA;230770;233744;236072;238339;240542
350330 ARARAS;131282;132934;134236;135506;136739
350335 ARCO-IRIS;1856;1811;1791;1773;1755
350340 AREALVA;8452;8505;8560;8613;8665
350350 AREIAS;3879;3876;3886;3896;3906
350360 AREIOPOLIS;11107;11099;11129;11158;11186
350370 ARIRANHA;9451;9573;9668;9761;9851
350380 ARTUR NOGUEIRA;51986;53450;54408;55340;56247
350390 ARUJA;86430;88455;89824;91157;92453
350395 ASPASIA;1842;1825;1822;1818;1815
350400 ASSIS;102924;103666;104386;105087;105768
350410 ATIBAIA;139683;141398;142761;144088;145378
350420 AURIFLAMA;15085;15123;15189;15253;15316
350430 AVAI;5337;5369;5403;5436;5467
350440 AVANHANDAVA;13112;13433;13649;13859;14063
350450 AVARE;89479;90063;90655;91232;91792
350460 BADY BASSITT;16843;17236;17502;17761;18013
350470 BALBINOS;5188;5532;5735;5934;6127
350480 BALSAMO;8908;8994;9068;9139;9209
350490 BANANAL;10867;10896;10945;10993;11039
350500 BARAO DE ANTONINA;3406;3441;3469;3498;3525
350510 BARBOSA;7251;7335;7402;7468;7532
350520 BARIRI;34602;34961;35264;35558;35844
350530 BARRA BONITA;36331;36127;36126;36126;36125
350535 BARRA DO CHAPEU;5653;5688;5724;5760;5794
350540 BARRA DO TURVO;7781;7687;7659;7632;7606
350550 BARRETOS;120638;121344;122098;122833;123546
350560 BARRINHA;31921;32434;32812;33180;33537
350570 BARUERI;267534;271306;274182;276982;279704
350580 BASTOS;21073;20954;20953;20953;20952
350590 BATATAIS;61480;62024;62508;62980;63438
350600 BAURU;371690;374272;376818;379297;381706
350610 BEBEDOURO;77761;77436;77496;77555;77612
350620 BENTO DE ABREU;2925;2955;2980;3005;3028
350630 BERNARDINO DE CAMPOS;11180;11137;11148;11158;11168
350635 BERTIOGA;59297;61736;63249;64723;66154
350640 BILAC;7837;7949;8034;8117;8197
350650 BIRIGUI;120692;122359;123638;124883;126094
350660 BIRITIBA-MIRIM;31793;32251;32598;32936;33265
350670 BOA ESPERANCA DO SUL;14727;14824;14923;15018;15111
350680 BOCAINA;12040;12204;12329;12452;12571
350690 BOFETE;11236;11534;11730;11921;12107
350700 BOITUVA;57910;59793;60997;62170;63310
350710 BOM JESUS DOS PERDOES;24023;24898;25448;25985;26506
350715 BOM SUCESSO DE ITARARE;3888;3923;3954;3984;4013
350720 BORA;839;836;837;838;839
350730 BORACEIA;4717;4776;4823;4868;4913
350740 BORBOREMA;15791;15925;16046;16164;16278
350745 BOREBI;2577;2621;2653;2683;2713
350750 BOTUCATU;142546;144820;146497;148130;149718
350760 BRAGANCA PAULISTA;164163;166753;168668;170533;172346
350770 BRAUNA;5557;5630;5686;5741;5795
350775 BREJO ALEGRE;2812;2841;2865;2889;2911
350780 BRODOWSKI;24092;24592;24939;25277;25605
